x, y, t, p, sqrt(u^2+v^2), u, v
0, 0, 5, 5.61181, 0, 0, 0
2.2, 0, 5, 0, 0, 0, 0
0, 0.41, 5, 5.74785, 0, 0, 0
2.2, 0.41, 5, 0, 0, 0, 0
0.2, 0.15, 5, 3.61735, 0, 0, 0
0.25, 0.2, 5, 4.38876, 0, 0, 0
0.2, 0.25, 5, 3.9951, 0, 0, 0
0.15, 0.2, 5, 7.2445, 0, 0, 0
0.022, 0, 5, 5.60999, 0, 0, 0
0.0418, 0, 5, 5.6063, 0, 0, 0
0.0616, 0, 5, 5.59329, 0, 0, 0
0.0814, 0, 5, 5.57673, 0, 0, 0
0.1012, 0, 5, 5.54286, 0, 0, 0
0.121, 0, 5, 5.50533, 0, 0, 0
0.1408, 0, 5, 5.44647, 0, 0, 0
0.1606, 0, 5, 5.36698, 0, 0, 0
0.1804, 0, 5, 5.29182, 0, 0, 0
0.2002, 0, 5, 5.18345, 0, 0, 0
0.2222, 0, 5, 5.0816, 0, 0, 0
0.242, 0, 5, 4.97018, 0, 0, 0
0.2618, 0, 5, 4.88027, 0, 0, 0
0.2816, 0, 5, 4.79345, 0, 0, 0
0.3014, 0, 5, 4.71719, 0, 0, 0
0.3212, 0, 5, 4.6553, 0, 0, 0
0.341, 0, 5, 4.60199, 0, 0, 0
0.3608, 0, 5, 4.55947, 0, 0, 0
0.3806, 0, 5, 4.52674, 0, 0, 0
0.4004, 0, 5, 4.50276, 0, 0, 0
0.4202, 0, 5, 4.48757, 0, 0, 0
0.4422, 0, 5, 4.4804, 0, 0, 0
0.462, 0, 5, 4.48113, 0, 0, 0
0.4818, 0, 5, 4.48662, 0, 0, 0
0.5016, 0, 5, 4.49563, 0, 0, 0
0.5214, 0, 5, 4.50119, 0, 0, 0
0.5412, 0, 5, 4.49353, 0, 0, 0
0.561, 0, 5, 4.46963, 0, 0, 0
0.5808, 0, 5, 4.4314, 0, 0, 0
0.6006, 0, 5, 4.37831, 0, 0, 0
0.6204, 0, 5, 4.30774, 0, 0, 0
0.6402, 0, 5, 4.21954, 0, 0, 0
0.6622, 0, 5, 4.10546, 0, 0, 0
0.682, 0, 5, 3.99514, 0, 0, 0
0.7018, 0, 5, 3.88816, 0, 0, 0
0.7216, 0, 5, 3.79337, 0, 0, 0
0.7414, 0, 5, 3.71405, 0, 0, 0
0.7612, 0, 5, 3.64585, 0, 0, 0
0.781, 0, 5, 3.58038, 0, 0, 0
0.8008, 0, 5, 3.5116, 0, 0, 0
0.8206, 0, 5, 3.43898, 0, 0, 0
0.8404, 0, 5, 3.36643, 0, 0, 0
0.8602, 0, 5, 3.29928, 0, 0, 0
0.8822, 0, 5, 3.23699, 0, 0, 0
0.902, 0, 5, 3.19503, 0, 0, 0
0.9218, 0, 5, 3.16448, 0, 0, 0
0.9416, 0, 5, 3.14117, 0, 0, 0
0.9614, 0, 5, 3.11901, 0, 0, 0
0.9812, 0, 5, 3.09227, 0, 0, 0
1.001, 0, 5, 3.05704, 0, 0, 0
1.0208, 0, 5, 3.01177, 0, 0, 0
1.0406, 0, 5, 2.95698, 0, 0, 0
1.0604, 0, 5, 2.89433, 0, 0, 0
1.0802, 0, 5, 2.82569, 0, 0, 0
1.1022, 0, 5, 2.74444, 0, 0, 0
1.122, 0, 5, 2.66625, 0, 0, 0
1.1418, 0, 5, 2.58399, 0, 0, 0
1.1616, 0, 5, 2.49696, 0, 0, 0
1.1814, 0, 5, 2.40526, 0, 0, 0
1.2012, 0, 5, 2.31002, 0, 0, 0
1.221, 0, 5, 2.21406, 0, 0, 0
1.2408, 0, 5, 2.122, 0, 0, 0
1.2606, 0, 5, 2.0395, 0, 0, 0
1.2804, 0, 5, 1.97175, 0, 0, 0
1.3002, 0, 5, 1.92111, 0, 0, 0
1.3222, 0, 5, 1.88391, 0, 0, 0
1.342, 0, 5, 1.86321, 0, 0, 0
1.3618, 0, 5, 1.84745, 0, 0, 0
1.3816, 0, 5, 1.83063, 0, 0, 0
1.4014, 0, 5, 1.80825, 0, 0, 0
1.4212, 0, 5, 1.77789, 0, 0, 0
1.441, 0, 5, 1.73901, 0, 0, 0
1.4608, 0, 5, 1.69237, 0, 0, 0
1.4806, 0, 5, 1.63926, 0, 0, 0
1.5004, 0, 5, 1.58091, 0, 0, 0
