x, y, t, p, sqrt(u^2+v^2), u, v
0, 0, 1, 5.55556, 0, 0, 0
2.2, 0, 1, 0, 0, 0, 0
0, 0.41, 1, 5.5555, 0, 0, 0
2.2, 0.41, 1, 0, 0, 0, 0
0.2, 0.15, 1, 3.79722, 0, 0, 0
0.25, 0.2, 1, 4.35368, 0, 0, 0
0.2, 0.25, 1, 3.74272, 0, 0, 0
0.15, 0.2, 1, 7.12767, 0, 0, 0
0.022, 0, 1, 5.55364, 0, 0, 0
0.0418, 0, 1, 5.54963, 0, 0, 0
0.0616, 0, 1, 5.53664, 0, 0, 0
0.0814, 0, 1, 5.52065, 0, 0, 0
0.1012, 0, 1, 5.48836, 0, 0, 0
0.121, 0, 1, 5.45355, 0, 0, 0
0.1408, 0, 1, 5.39749, 0, 0, 0
0.1606, 0, 1, 5.32463, 0, 0, 0
0.1804, 0, 1, 5.25162, 0, 0, 0
0.2002, 0, 1, 5.14591, 0, 0, 0
0.2222, 0, 1, 5.04644, 0, 0, 0
0.242, 0, 1, 4.92875, 0, 0, 0
0.2618, 0, 1, 4.83442, 0, 0, 0
0.2816, 0, 1, 4.73329, 0, 0, 0
0.3014, 0, 1, 4.6408, 0, 0, 0
0.3212, 0, 1, 4.55808, 0, 0, 0
0.341, 0, 1, 4.48007, 0, 0, 0
0.3608, 0, 1, 4.41003, 0, 0, 0
0.3806, 0, 1, 4.34529, 0, 0, 0
0.4004, 0, 1, 4.2858, 0, 0, 0
0.4202, 0, 1, 4.23052, 0, 0, 0
0.4422, 0, 1, 4.17392, 0, 0, 0
0.462, 0, 1, 4.1251, 0, 0, 0
0.4818, 0, 1, 4.07784, 0, 0, 0
0.5016, 0, 1, 4.03159, 0, 0, 0
0.5214, 0, 1, 3.98563, 0, 0, 0
0.5412, 0, 1, 3.93969, 0, 0, 0
0.561, 0, 1, 3.89377, 0, 0, 0
0.5808, 0, 1, 3.84799, 0, 0, 0
0.6006, 0, 1, 3.80266, 0, 0, 0
0.6204, 0, 1, 3.75787, 0, 0, 0
0.6402, 0, 1, 3.71374, 0, 0, 0
0.6622, 0, 1, 3.66462, 0, 0, 0
0.682, 0, 1, 3.62019, 0, 0, 0
0.7018, 0, 1, 3.57423, 0, 0, 0
0.7216, 0, 1, 3.52623, 0, 0, 0
0.7414, 0, 1, 3.47585, 0, 0, 0
0.7612, 0, 1, 3.42318, 0, 0, 0
0.781, 0, 1, 3.36867, 0, 0, 0
0.8008, 0, 1, 3.31298, 0, 0, 0
0.8206, 0, 1, 3.25699, 0, 0, 0
0.8404, 0, 1, 3.20169, 0, 0, 0
0.8602, 0, 1, 3.14809, 0, 0, 0
0.8822, 0, 1, 3.09103, 0, 0, 0
0.902, 0, 1, 3.04278, 0, 0, 0
0.9218, 0, 1, 2.99654, 0, 0, 0
0.9416, 0, 1, 2.95224, 0, 0, 0
0.9614, 0, 1, 2.90964, 0, 0, 0
0.9812, 0, 1, 2.86871, 0, 0, 0
1.001, 0, 1, 2.82919, 0, 0, 0
1.0208, 0, 1, 2.79037, 0, 0, 0
1.0406, 0, 1, 2.75094, 0, 0, 0
1.0604, 0, 1, 2.70941, 0, 0, 0
1.0802, 0, 1, 2.66441, 0, 0, 0
1.1022, 0, 1, 2.60963, 0, 0, 0
1.122, 0, 1, 2.55572, 0, 0, 0
1.1418, 0, 1, 2.49848, 0, 0, 0
1.1616, 0, 1, 2.43866, 0, 0, 0
1.1814, 0, 1, 2.3773, 0, 0, 0
1.2012, 0, 1, 2.31528, 0, 0, 0
1.221, 0, 1, 2.25331, 0, 0, 0
1.2408, 0, 1, 2.19187, 0, 0, 0
1.2606, 0, 1, 2.13123, 0, 0, 0
1.2804, 0, 1, 2.07154, 0, 0, 0
1.3002, 0, 1, 2.01277, 0, 0, 0
1.3222, 0, 1, 1.9488, 0, 0, 0
1.342, 0, 1, 1.89188, 0, 0, 0
1.3618, 0, 1, 1.83583, 0, 0, 0
1.3816, 0, 1, 1.78048, 0, 0, 0
1.4014, 0, 1, 1.72577, 0, 0, 0
1.4212, 0, 1, 1.67167, 0, 0, 0
1.441, 0, 1, 1.61813, 0, 0, 0
1.4608, 0, 1, 1.56514, 0, 0, 0
1.4806, 0, 1, 1.51269, 0, 0, 0
1.5004, 0, 1, 1.46079, 0, 0, 0
1.5202, 0, 1, 1.40937, 0, 0, 0
1.5422, 0, 1, 1.3531, 0, 0, 0
1.562, 0, 1, 1.3028, 0, 0, 0
1.5818, 0, 1, 1.25315, 0, 0, 0
1.6016, 0, 1, 1.20407, 0, 0, 0
1.6214, 0, 1, 1.15556, 0, 0, 0
1.6412, 0, 1, 1.10764, 0, 0, 0
1.661, 0, 1, 1.0603, 0, 0, 0
1.6808, 0, 1, 1.01357, 0, 0, 0
1.7006, 0, 1, 0.967425, 0, 0, 0
1.7204, 0, 1, 0.921902, 0, 0, 0
1.7402, 0, 1, 0.876927, 0, 0, 0
1.7622, 0, 1, 0.827894, 0, 0, 0
1.782, 0, 1, 0.784164, 0, 0, 0
1.8018, 0, 1, 0.741136, 0, 0, 0
1.8216, 0, 1, 0.698708, 0, 0, 0
1.8414, 0, 1, 0.656892, 0, 0, 0
1.8612, 0, 1, 0.615682, 0, 0, 0
1.881, 0, 1, 0.575074, 0, 0, 0
1.9008, 0, 1, 0.535077, 0, 0, 0
1.9206, 0, 1, 0.495674, 0, 0, 0
1.9404, 0, 1, 0.456881, 0, 0, 0
1.9602, 0, 1, 0.418624, 0, 0, 0
1.9822, 0, 1, 0.377028, 0, 0, 0
2.002, 0, 1, 0.33996, 0, 0, 0
2.0218, 0, 1, 0.303586, 0, 0, 0
2.0416, 0, 1, 0.267703, 0, 0, 0
2.0614, 0, 1, 0.232553, 0, 0, 0
2.0812, 0, 1, 0.197598, 0, 0, 0
2.101, 0, 1, 0.163822, 0, 0, 0
2.1208, 0, 1, 0.129601, 0, 0, 0
2.1406, 0, 1, 0.0969412, 0, 0, 0
2.1604, 0, 1, 0.0642207, 0, 0, 0
2.1802, 0, 1, 0.0296538, 0, 0, 0
0, 0.39032, 1, 5.55701, 0.274176, 0.274176, 0
0, 0.37064, 1, 5.56284, 0.520704, 0.520704, 0
0, 0.35137, 1, 5.58348, 0.735306, 0.735306, 0
0, 0.33169, 1, 5.61802, 0.927114, 0.927114, 0
0, 0.31201, 1, 5.66491, 1.09127, 1.09127, 0
0, 0.29274, 1, 5.72065, 1.22522, 1.22522, 0
0, 0.27306, 1, 5.78625, 1.33466, 1.33466, 0
0, 0.25379, 1, 5.85451, 1.41503, 1.41503, 0
0, 0.23411, 1, 5.91629, 1.46975, 1.46975, 0
0, 0.21443, 1, 5.95488, 1.49683, 1.49683, 0
0, 0.19516, 1, 5.96139, 1.49654, 1.49654, 0
0, 0.17548, 1, 5.93375, 1.4689, 1.4689, 0
0, 0.1558, 1, 5.87769, 1.4136, 1.4136, 0
0, 0.13653, 1, 5.80585, 1.33267, 1.33267, 0
0, 0.11685, 1, 5.73091, 1.22265, 1.22265, 0
0, 0.09758, 1, 5.66733, 1.08814, 1.08814, 0
0, 0.0779, 1, 5.61652, 0.9234, 0.9234, 0
0, 0.05822, 1, 5.5818, 0.731016, 0.731016, 0
0, 0.03895, 1, 5.56258, 0.51585, 0.51585, 0
0, 0.01927, 1, 5.55703, 0.268746, 0.268746, 0
2.2, 0.01968, 1, 0, 0.449459, 0.446331, -0.0529326
2.2, 0.03936, 1, 0, 0.778287, 0.77801, -0.0207574
